,Group.1,alb.x,bic.x,lob.x,lyr.x,mac.x,mic.x,mon.x,mue.x,pri.x,sin.x,ste.x,stemar.x,mar.x,alb.y,bic.y,lob.y,lyr.y,mac.y,mic.y,mon.y,mue.y,pri.y,sin.y,mar.y,ste.y,stemar.y,colnum,species,state,site,lat,long,sp,hyb,,
71,SYST-MOR-0006770,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999885,1.00E-05,1.10E-05,2.10E-05,1.10E-05,0,0,1.30E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999885,1.00E-05,1.10E-05,2.10E-05,1.10E-05,0,0,0,1.30E-05,MO_BOT_038_All,Quercus macrocarpa Michx.,Missouri,Big Oak Tree State Park ,36.64308589,-89.28758916,mac,pure,1.00E+00,pure
72,SYST-MOR-0006771,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.00E-05,2.60E-05,2.00E-05,0.99989,1.70E-05,2.00E-05,1.00E-05,1.10E-05,1.70E-05,1.00E-05,2.70E-05,MO_BOT_039_All,Quercus michauxii Nutt.,Missouri,Big Oak Tree State Park ,36.64287291,-89.28744984,mic,pure,1.00E+00,pure
73,SYST-MOR-0006772,1.00E-05,1.00E-05,1.00E-05,2.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,2.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,MO_BOT_040_All,Quercus macrocarpa Michx.,Missouri,Big Oak Tree State Park ,36.64427285,-89.28656344,mac,pure,1.00E+00,pure
74,SYST-MOR-0006773,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.40E-05,2.00E-05,2.00E-05,2.00E-05,0.99989,1.80E-05,2.00E-05,1.20E-05,1.00E-05,2.00E-05,1.00E-05,3.00E-05,MO_BOT_041_All,Quercus michauxii Nutt.,Missouri,Big Oak Tree State Park ,36.64423073,-89.28680646,mic,pure,1.00E+00,pure
76,SYST-MOR-0006775,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_BOT_043_All,Quercus macrocarpa Michx.,Missouri,Big Oak Tree State Park ,36.64101675,-89.2904011,mac,pure,1.00E+00,pure
77,SYST-MOR-0006776,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,2.60E-05,0.9999,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_BOT_044_All,Quercus lyrata Walt.,Missouri,Big Oak Tree State Park ,36.64089787,-89.2904101,lyr,pure,1.00E+00,pure
79,SYST-MOR-0006778,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,0,1.00E-05,0,0,1.00E-05,IA_BSP_046_MG,Quercus macrocarpa Michx.,Iowa,Brookside Park ,42.03107238,-93.63017301,mac,pure,1.00E+00,pure
80,SYST-MOR-0006779,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.999886,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.40E-05,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.999886,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.40E-05,IA_BSP_047_MG,Quercus macrocarpa Michx.,Iowa,Brookside Park ,42.03371379,-93.63040998,mac,pure,1.00E+00,pure
81,SYST-MOR-0006780,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,0,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,0,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_BSP_048_MG,Quercus macrocarpa Michx.,Iowa,Brookside Park ,42.03431925,-93.63024501,mac,pure,1.00E+00,pure
82,SYST-MOR-0006781,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,IA_BSP_049_MG,Quercus macrocarpa Michx.,Iowa,Brookside Park ,42.02939736,-93.62820226,mac,pure,1.00E+00,pure
83,SYST-MOR-0006782,1.00E-05,1.00E-05,1.00E-05,2.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,2.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,IA_BSP_050_MG,Quercus macrocarpa Michx.,Iowa,Brookside Park ,42.02873078,-93.62824477,mac,pure,1.00E+00,pure
84,SYST-MOR-0006783,0.999885,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,1.00E-05,0.99989,1.00E-05,1.30E-05,1.00E-05,2.30E-05,1.00E-05,1.50E-05,1.00E-05,1.70E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_051_MG,Quercus alba L.,Iowa,Lindsay Wilderness,40.710377,-91.79738944,alb,pure,1.00E+00,pure
85,SYST-MOR-0006784,0.99989,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_052_MG,Quercus alba L.,Iowa,Lindsay Wilderness,40.709859,-91.796245,alb,pure,1.00E+00,pure
86,SYST-MOR-0006785,0.9999,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.9999,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.60E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,2.00E-05,IA_LNW_053_MG,Quercus alba L.,Iowa,Lindsay Wilderness,40.710201,-91.794682,alb,pure,1.00E+00,pure
87,SYST-MOR-0006786,0.999883,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,0.99989,1.30E-05,2.00E-05,1.40E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_054_MG,Quercus alba L.,Iowa,Lindsay Wilderness,40.710553,-91.792546,alb,pure,1.00E+00,pure
89,SYST-MOR-0006788,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.10E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,1.00E-05,0,1.20E-05,1.00E-05,2.00E-05,1.10E-05,2.00E-05,1.40E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,1.00E-05,IA_LNW_056_MG,Quercus muehlenbergii Engelm.,Iowa,Lindsay Wilderness,40.707865,-91.788325,mue,pure,1.00E+00,pure
91,SYST-MOR-0006790,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999875,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,2.00E-05,1.80E-05,1.00E-05,0.99989,1.70E-05,1.00E-05,0,0,1.00E-05,IA_LNW_058_MG,Quercus muehlenbergii Engelm.,Iowa,Lindsay Wilderness,40.706792,-91.79075,mue,pure,1.00E+00,pure
92,SYST-MOR-0006791,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_059_MG,Quercus macrocarpa Michx.,Iowa,Lindsay Wilderness,40.707564,-91.792402,mac,pure,1.00E+00,pure
93,SYST-MOR-0006792,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,IA_LNW_060_MG,Quercus macrocarpa Michx.,Iowa,Lindsay Wilderness,40.70735,-91.793153,mac,pure,1.00E+00,pure
94,SYST-MOR-0006793,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.9999,2.00E-05,1.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_061_MG,Quercus alba L.,Iowa,Lindsay Wilderness,40.706728,-91.793218,alb,pure,1.00E+00,pure
95,SYST-MOR-0006794,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,2.00E-05,2.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_062_MG,Quercus muehlenbergii Engelm.,Iowa,Lindsay Wilderness,40.706856,-91.79369,mue,pure,1.00E+00,pure
96,SYST-MOR-0006796,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.10E-05,1.00E-05,2.50E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_064_MG,Quercus bicolor Willd.,Iowa,Lindsay Wilderness,40.703988,-91.796584,bic,pure,1.00E+00,pure
97,SYST-MOR-0006797,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,0.9999,2.00E-05,2.00E-05,2.20E-05,1.00E-05,1.00E-05,2.00E-05,1.50E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_LNW_065_MG,Quercus bicolor Willd.,Iowa,Lindsay Wilderness,40.703502,-91.796851,bic,pure,1.00E+00,pure
98,SYST-MOR-0006798,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,1.00E-05,0,0,1.00E-05,IA_CHP_066_MG,Quercus macrocarpa Michx.,Iowa,Cherokee Park ,41.97471713,-91.7216927,mac,pure,1.00E+00,pure
99,SYST-MOR-0006799,1.00E-05,0,1.00E-05,0,0.9999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.9999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_CHP_067_MG,Quercus macrocarpa Michx.,Iowa,Cherokee Park ,41.97330457,-91.72514806,mac,pure,1.00E+00,pure
101,SYST-MOR-0006801,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,IA_CHP_069_MG,Quercus macrocarpa Michx.,Iowa,Cherokee Park ,41.973906,-91.722929,mac,pure,1.00E+00,pure
102,SYST-MOR-0006802,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999884,1.00E-05,1.60E-05,2.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999884,1.00E-05,1.60E-05,2.00E-05,1.00E-05,0,0,0,1.00E-05,IA_CHP_070_MG,Quercus macrocarpa Michx.,Iowa,Cherokee Park ,41.983481,-91.797435,mac,pure,1.00E+00,pure
103,SYST-MOR-0006803,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,MO_CSW_071_MGLS,Quercus macrocarpa Michx.,Missouri,Castlewood State Park ,38.545697,-90.535657,mac,pure,1.00E+00,pure
104,SYST-MOR-0006804,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,MO_CSW_072_MGLS,Quercus macrocarpa Michx.,Missouri,Castlewood State Park ,38.546835,-90.537024,mac,pure,1.00E+00,pure
105,SYST-MOR-0006805,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,2.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,MO_CSW_073_MGLS,Quercus macrocarpa Michx.,Missouri,Castlewood State Park ,38.547166,-90.536986,mac,pure,1.00E+00,pure
106,SYST-MOR-0006806,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,0.99989,0,2.00E-05,2.00E-05,1.30E-05,2.10E-05,2.00E-05,1.00E-05,1.00E-05,1.40E-05,1.30E-05,1.30E-05,0,0,0.99989,MO_TRC_074_MG,Quercus stellata Wangenh.,Missouri,Tyson Research Center,38.512088,-90.575698,ste,pure,1.00E+00,pure
108,SYST-MOR-0006808,0.99989,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.99989,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,MO_TRC_076_MG,Quercus alba L.,Missouri,Tyson Research Center,38.512384,-90.575894,alb,pure,1.00E+00,pure
109,SYST-MOR-0006809,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.40E-05,0,1.00E-05,2.00E-05,1.30E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_TRC_077_MG,Quercus muehlenbergii Engelm.,Missouri,Tyson Research Center,38.512355,-90.576186,mue,pure,1.00E+00,pure
110,SYST-MOR-0006810,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,0.999894,1.00E-05,1.20E-05,1.00E-05,1.00E-05,1.00E-05,1.40E-05,1.00E-05,1.00E-05,0,0,0,1.00E-05,MO_TRC_078_MG,Quercus alba L.,Missouri,Tyson Research Center,38.512345,-90.576354,alb,pure,1.00E+00,pure
111,SYST-MOR-0006811,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.40E-05,2.00E-05,2.40E-05,2.20E-05,1.70E-05,1.00E-05,2.10E-05,1.00E-05,1.70E-05,1.00E-05,0.99989,0.9999,MO_TRC_079_MG,Quercus stellata Wangenh.,Missouri,Tyson Research Center,38.512487,-90.576479,ste,pure,1.00E+00,pure
112,SYST-MOR-0006813,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999889,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,1.10E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.50E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_TRC_081_MG,Quercus muehlenbergii Engelm.,Missouri,Tyson Research Center,38.511584,-90.57496,mue,pure,1.00E+00,pure
113,SYST-MOR-0006814,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,1.00E-05,1.40E-05,2.00E-05,1.70E-05,1.00E-05,1.60E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,0.9999,MO_TRC_082_MG,Quercus stellata Wangenh.,Missouri,Tyson Research Center,38.513753,-90.557106,ste,pure,1.00E+00,pure
114,SYST-MOR-0006815,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.999886,0,2.40E-05,2.00E-05,2.00E-05,2.00E-05,2.90E-05,1.20E-05,1.00E-05,2.20E-05,1.20E-05,1.00E-05,1.90E-05,0.999889,0.9999,MO_TRC_083_MG,Quercus stellata Wangenh.,Missouri,Tyson Research Center,38.514397,-90.555689,ste,pure,1.00E+00,pure
115,SYST-MOR-0006816,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,0.999882,1.00E-05,1.00E-05,1.00E-05,2.80E-05,1.80E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,0.999882,1.00E-05,1.00E-05,1.80E-05,1.00E-05,2.80E-05,MO_TRC_084_MG,Quercus muehlenbergii Engelm.,Missouri,Tyson Research Center,38.514483,-90.555689,mue,pure,1.00E+00,pure
116,SYST-MOR-0006817,0.999888,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,0,1.00E-05,0,0.9999,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.20E-05,1.00E-05,0,0,1.00E-05,1.00E-05,0,2.00E-05,MO_TRC_085_MG,Quercus alba L.,Missouri,Tyson Research Center,38.51341,-90.557621,alb,pure,1.00E+00,pure
117,SYST-MOR-0006818,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,1.00E-05,1.00E-05,2.60E-05,1.00E-05,1.10E-05,2.00E-05,1.60E-05,1.60E-05,1.00E-05,0.999884,0.9999,MO_TRC_086_MG,Quercus stellata Wangenh.,Missouri,Tyson Research Center,38.512874,-90.557406,ste,pure,1.00E+00,pure
118,SYST-MOR-0006819,0.99988,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,3.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,2.00E-05,MO_TRC_087_MG,Quercus alba L.,Missouri,Tyson Research Center,38.512509,-90.557449,alb,pure,1.00E+00,pure
119,SYST-MOR-0006820,0.999884,1.00E-05,1.00E-05,1.00E-05,1.70E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.99989,2.00E-05,2.20E-05,1.60E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_TRC_088_MG,Quercus alba L.,Missouri,Tyson Research Center,38.511951,-90.558586,alb,pure,1.00E+00,pure
120,SYST-MOR-0006821,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,0,0,0,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.9999,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,MO_HHT_089_MG,Quercus macrocarpa Michx.,Missouri,Ha Ha Tonka State Park ,37.990282,-92.774439,mac,pure,1.00E+00,pure
121,SYST-MOR-0006822,0.999888,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.20E-05,0,0.99989,2.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_HHT_090_MG,Quercus alba L.,Missouri,Ha Ha Tonka State Park ,37.97832,-92.768426,alb,pure,1.00E+00,pure
122,SYST-MOR-0006823,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,1.00E-05,1.40E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.60E-05,1.00E-05,1.00E-05,0.99989,0.9999,MO_HHT_091_MG,Quercus stellata Wangenh.,Missouri,Ha Ha Tonka State Park ,37.97832,-92.768447,ste,pure,1.00E+00,pure
123,SYST-MOR-0006824,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.99989,2.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_HHT_092_MG,Quercus alba L.,Missouri,Ha Ha Tonka State Park ,37.980251,-92.768297,alb,pure,1.00E+00,pure
124,SYST-MOR-0006825,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,2.00E-05,1.00E-05,2.00E-05,1.00E-05,1.60E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,0.9999,MO_HHT_093_MG,Quercus stellata Wangenh.,Missouri,Ha Ha Tonka State Park ,37.980396,-92.768258,ste,pure,1.00E+00,pure
125,SYST-MOR-0006826,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,2.00E-05,1.00E-05,2.60E-05,1.00E-05,1.90E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,0.9999,MO_HHT_094_MG,Quercus stellata Wangenh.,Missouri,Ha Ha Tonka State Park ,37.980251,-92.769241,ste,pure,1.00E+00,pure
126,SYST-MOR-0006827,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.00E-05,1.00E-05,2.00E-05,2.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_HHT_095_MG,Quercus muehlenbergii Engelm.,Missouri,Ha Ha Tonka State Park ,37.980144,-92.770185,mue,pure,1.00E+00,pure
127,SYST-MOR-0006828,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,2.70E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.10E-05,0.99989,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_HHT_096_MG,Quercus muehlenbergii Engelm.,Missouri,Ha Ha Tonka State Park ,37.979586,-92.770872,mue,pure,1.00E+00,pure
128,SYST-MOR-0006829,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.999869,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,2.00E-05,2.00E-05,1.00E-05,1.90E-05,1.90E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,0,1.30E-05,MO_HHT_097_MG,Quercus muehlenbergii Engelm.,Missouri,Ha Ha Tonka State Park ,37.980251,-92.771752,mue,pure,1.00E+00,pure
129,SYST-MOR-0006830,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,1.00E-05,0,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,0.99989,1.00E-05,1.00E-05,0,0,1.00E-05,MO_HHT_098_MG,Quercus muehlenbergii Engelm.,Missouri,Ha Ha Tonka State Park ,37.980058,-92.772782,mue,pure,1.00E+00,pure
130,SYST-MOR-0006831,0.999884,0,1.00E-05,0,2.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.00E-05,0,0.99989,1.00E-05,1.00E-05,1.00E-05,2.40E-05,1.10E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_HHT_099_MG,Quercus alba L.,Missouri,Ha Ha Tonka State Park ,37.977505,-92.773662,alb,pure,1.00E+00,pure
131,SYST-MOR-0006832,0.99989,1.20E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,1.20E-05,0,0.99989,2.00E-05,2.20E-05,1.10E-05,1.30E-05,1.00E-05,1.00E-05,1.80E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,MO_HHT_100_MG,Quercus alba L.,Missouri,Ha Ha Tonka State Park ,37.977033,-92.768855,alb,pure,1.00E+00,pure
132,SYST-MOR-0006833,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0,0.99989,0,2.00E-05,2.00E-05,2.00E-05,1.30E-05,2.00E-05,1.00E-05,1.00E-05,2.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99989,0.9999,MO_HHT_101_MG,Quercus stellata Wangenh.,Missouri,Ha Ha Tonka State Park ,37.977054,-92.768555,ste,pure,1.00E+00,pure
